"","Age","Gender","Session","Trial","Advisor","stm_Coh","stm_Dir","Decicion_1","Confidence_1","RT_1","Accuracy_1","Score_1","Score_2","Decision_2","Confidence_2","RT_2","Accuracy_2","avd_Decision","adv_Confidence","adv_Accuracy","Subject_ID"
"32",20,1,1,32,2,0.123,1,1,0.8,4509,1,92,92,1,0.8,6589,1,1,0.8,1,1
"33",20,1,1,33,2,0.123,0,0,-0.7,1204,1,82,92,0,-0.8,4484,1,0,-1,1,1
"34",20,1,1,34,2,0.123,0,1,0.8,5523,0,-28,-28,1,0.8,7363,0,0,-0.8,1,1
"35",20,1,1,35,2,0.123,1,0,-0.8,1437,0,-28,-28,0,-0.8,3307,0,0,-0.7,0,1
"36",20,1,1,36,2,0.123,0,1,0.7,905,0,2,2,1,0.7,2225,0,0,-1,1,1
"37",20,1,1,37,2,0.123,1,1,0.6,1031,1,68,68,1,0.6,3246,1,0,-0.8,0,1
"38",20,1,1,38,2,0.123,1,0,-0.6,751,0,28,28,0,-0.6,2231,0,1,0.6,1,1
"39",20,1,1,39,2,0.123,0,0,-0.6,687,1,68,68,0,-0.6,3742,1,0,-0.6,1,1
"40",20,1,1,40,2,0.123,1,1,0.7,1175,1,82,82,1,0.7,3070,1,1,0.7,1,1
"41",20,1,1,41,2,0.123,0,0,-0.8,1423,1,92,92,0,-0.8,3383,1,1,0.8,0,1
"42",20,1,1,42,2,0.123,1,1,0.7,1986,1,82,82,1,0.7,3976,1,1,0.7,1,1
"43",20,1,1,43,2,0.123,0,1,0.7,993,0,2,2,1,0.7,2858,0,0,-1,1,1
"44",20,1,1,44,2,0.123,0,1,0.7,1063,0,2,68,0,-0.6,3958,1,0,-0.7,1,1
"45",20,1,1,45,2,0.123,1,0,-0.6,1837,0,28,28,0,-0.6,3727,0,1,0.8,1,1
"46",20,1,1,46,2,0.123,1,1,0.6,809,1,68,68,1,0.6,2119,1,1,0.9,1,1
"47",20,1,1,47,2,0.123,1,1,0.6,1718,1,68,68,1,0.6,3468,1,1,0.9,1,1
"48",20,1,1,48,2,0.123,1,0,-0.8,1741,0,-28,-28,0,-0.8,4357,0,1,1,1,1
"49",20,1,1,49,2,0.123,1,0,-0.6,923,0,28,28,0,-0.6,3523,0,1,0.6,1,1
"50",20,1,1,50,2,0.123,0,1,0.9,2241,0,-62,-62,1,0.9,5472,0,0,-0.6,1,1
"51",20,1,1,51,2,0.123,1,0,-0.7,963,0,2,28,0,-0.6,3403,0,1,0.8,1,1
"52",20,1,1,52,2,0.123,1,0,-0.6,891,0,28,28,0,-0.6,3311,0,0,-0.6,0,1
"53",20,1,1,53,2,0.123,1,1,0.7,1820,1,82,82,1,0.7,3260,1,1,1,1,1
"54",20,1,1,54,2,0.123,1,0,-0.7,990,0,2,2,0,-0.7,2445,0,1,0.6,1,1
"55",20,1,1,55,2,0.123,0,0,-0.6,1217,1,68,68,0,-0.6,3168,1,0,-1,1,1
"56",20,1,1,56,2,0.123,0,1,0.7,870,0,2,-28,1,0.8,2990,0,1,1,0,1
"57",20,1,1,57,2,0.123,0,1,0.7,1917,0,2,2,1,0.7,3537,0,0,-0.6,1,1
"58",20,1,1,58,2,0.123,1,0,-0.8,1318,0,-28,-28,0,-0.8,3358,0,0,-0.8,0,1
"59",20,1,1,59,2,0.123,0,1,0.6,1085,0,28,28,1,0.6,4410,0,1,0.6,0,1
"60",20,1,1,60,2,0.123,0,0,-0.6,922,1,68,28,1,0.6,4492,0,1,0.9,0,1
"61",20,1,1,61,2,0.123,1,0,-0.6,10460,0,28,28,0,-0.6,12970,0,0,-0.7,0,1
"62",20,1,1,62,2,0.123,1,0,-0.6,917,0,28,68,1,0.6,3792,1,1,0.8,1,1
"63",20,1,1,63,2,0.123,0,1,0.7,1502,0,2,28,1,0.6,3827,0,0,-0.8,1,1
"64",20,1,1,64,2,0.123,1,1,0.7,1203,1,82,28,0,-0.6,3828,0,0,-0.8,0,1
"65",20,1,1,65,2,0.123,1,1,0.7,1322,1,82,82,1,0.7,3412,1,1,1,1,1
"66",20,1,1,66,2,0.123,0,1,0.7,2459,0,2,28,1,0.6,4219,0,0,-0.7,1,1
"67",20,1,1,67,2,0.123,1,0,-0.6,1518,0,28,82,1,0.7,4194,1,1,0.9,1,1
"68",20,1,1,68,2,0.123,1,1,0.8,1262,1,92,68,1,0.6,3552,1,0,-0.6,0,1
"69",20,1,1,69,2,0.123,0,1,0.8,1326,0,-28,2,1,0.7,3666,0,0,-0.9,1,1
"70",20,1,1,70,2,0.123,0,1,0.7,1142,0,2,2,1,0.7,3272,0,0,-0.6,1,1
"71",20,1,1,71,2,0.123,0,0,-0.6,993,1,68,68,0,-0.6,2843,1,0,-0.6,1,1
"72",20,1,1,72,2,0.123,1,0,-0.8,1355,0,-28,-28,0,-0.8,3205,0,1,1,1,1
"73",20,1,1,73,2,0.123,0,1,0.6,2655,0,28,28,1,0.6,4600,0,0,-0.8,1,1
"74",20,1,1,74,2,0.123,0,0,-0.6,1241,1,68,28,1,0.6,5642,0,1,1,0,1
"75",20,1,1,75,2,0.123,0,0,-0.6,1083,1,68,68,0,-0.6,2918,1,1,0.9,0,1
"76",20,1,1,76,2,0.123,1,0,-0.6,4096,0,28,2,0,-0.7,6531,0,0,-1,0,1
"77",20,1,1,77,2,0.123,1,0,-0.6,889,0,28,28,0,-0.6,2834,0,0,-0.9,0,1
"78",20,1,1,78,2,0.123,1,1,0.9,1405,1,98,98,1,0.9,2760,1,0,-0.6,0,1
"79",20,1,1,79,2,0.123,1,1,1,1582,1,100,100,1,1,3487,1,1,0.7,1,1
"80",20,1,1,80,2,0.123,0,1,0.7,1214,0,2,2,1,0.7,2654,0,0,-0.7,1,1
"81",20,1,1,81,2,0.123,0,0,-0.6,2562,1,68,68,0,-0.6,4842,1,1,0.7,0,1
"82",20,1,1,82,2,0.123,0,0,-0.7,1186,1,82,82,0,-0.7,2976,1,0,-0.9,1,1
"83",20,1,1,83,2,0.123,0,1,0.6,938,0,28,28,1,0.6,2764,0,0,-0.9,1,1
"84",20,1,1,84,2,0.123,0,0,-0.7,1022,1,82,92,0,-0.8,3182,1,0,-0.8,1,1
"85",20,1,1,85,2,0.123,1,1,0.8,1007,1,92,92,1,0.8,2662,1,1,0.8,1,1
"86",20,1,1,86,2,0.123,1,0,-0.8,1434,0,-28,28,0,-0.6,4059,0,1,0.8,1,1
"87",20,1,1,87,2,0.123,1,1,0.7,1505,1,82,92,1,0.8,4735,1,1,1,1,1
"88",20,1,1,88,2,0.123,0,0,-0.6,1090,1,68,68,0,-0.6,3755,1,1,0.7,0,1
"89",20,1,1,89,2,0.123,0,0,-0.6,963,1,68,82,0,-0.7,2748,1,0,-1,1,1
"90",20,1,1,90,2,0.123,0,0,-0.7,1084,1,82,82,0,-0.7,4770,1,1,0.7,0,1
"91",20,1,1,91,2,0.123,1,0,-0.6,835,0,28,28,0,-0.6,2645,0,1,1,1,1
"92",20,1,1,92,2,0.123,1,1,0.6,1109,1,68,82,1,0.7,3550,1,1,0.9,1,1
"93",20,1,1,93,2,0.123,0,0,-0.7,1385,1,82,82,0,-0.7,3175,1,1,0.9,0,1
"94",20,1,1,94,2,0.123,1,1,0.8,1722,1,92,98,1,0.9,3692,1,1,0.9,1,1
"95",20,1,1,95,2,0.123,0,0,-0.8,1161,1,92,98,0,-0.9,3386,1,0,-0.9,1,1
"96",20,1,1,96,2,0.123,1,0,-0.7,1201,0,2,28,0,-0.6,5541,0,1,0.7,1,1
"97",20,1,1,97,2,0.123,1,0,-0.7,1121,0,2,2,0,-0.7,2886,0,0,-1,0,1
"98",20,1,1,98,2,0.123,1,1,0.8,1591,1,92,92,1,0.8,3376,1,1,0.9,1,1
"99",20,1,1,99,2,0.123,0,0,-0.7,1086,1,82,82,0,-0.7,3517,1,0,-0.6,1,1
"100",20,1,1,100,2,0.123,0,1,0.8,1254,0,-28,2,1,0.7,5549,0,0,-0.9,1,1
"101",20,1,1,101,2,0.123,1,0,-0.7,3125,0,2,2,0,-0.7,5210,0,0,-0.6,0,1
"102",20,1,1,102,2,0.123,0,1,0.7,700,0,2,2,1,0.7,2425,0,0,-1,1,1
"103",20,1,1,103,2,0.123,0,0,-0.6,1052,1,68,68,0,-0.6,2957,1,0,-0.7,1,1
"104",20,1,1,104,2,0.123,1,1,0.7,3349,1,82,82,1,0.7,5709,1,1,0.9,1,1
"105",20,1,1,105,2,0.123,1,0,-0.6,2150,0,28,28,0,-0.6,4060,0,1,0.6,1,1
"106",20,1,1,106,2,0.123,1,1,0.8,1913,1,92,92,1,0.8,3668,1,1,0.6,1,1
"107",20,1,1,107,2,0.123,1,0,-0.8,1836,0,-28,-28,0,-0.8,3941,0,1,0.8,1,1
"108",20,1,1,108,2,0.123,1,1,0.7,1297,1,82,82,1,0.7,3167,1,1,0.7,1,1
"109",20,1,1,109,2,0.123,1,1,0.6,989,1,68,68,1,0.6,3709,1,0,-0.8,0,1
"110",20,1,1,110,2,0.123,1,0,-0.7,1230,0,2,2,0,-0.7,3566,0,1,1,1,1
"111",20,1,1,111,2,0.123,0,0,-0.6,795,1,68,68,0,-0.6,2830,1,1,0.6,0,1
"112",20,1,1,112,2,0.123,0,1,0.6,978,0,28,2,1,0.7,2798,0,1,0.9,0,1
"113",20,1,1,113,2,0.123,0,0,-0.7,1505,1,82,82,0,-0.7,3390,1,0,-0.9,1,1
"114",20,1,1,114,2,0.123,0,1,0.6,880,0,28,28,1,0.6,2610,0,0,-1,1,1
"115",20,1,1,115,2,0.123,0,0,-0.6,2240,1,68,68,0,-0.6,4130,1,1,0.7,0,1
"116",20,1,1,116,2,0.123,0,1,0.6,2048,0,28,68,0,-0.6,4698,1,0,-0.7,1,1
"117",20,1,1,117,2,0.123,0,0,-0.7,2130,1,82,92,0,-0.8,4856,1,0,-0.9,1,1
"118",20,1,1,118,2,0.123,0,1,0.9,1291,0,-62,-62,1,0.9,3066,0,0,-0.8,1,1
"119",20,1,1,119,2,0.123,1,1,0.7,1341,1,82,82,1,0.7,2826,1,0,-1,0,1
"120",20,1,1,120,2,0.123,1,0,-0.9,1362,0,-62,-62,0,-0.9,3112,0,1,1,1,1
"121",20,1,2,121,1,0.123,0,0,-0.6,13918,1,68,82,0,-0.7,15698,1,0,-0.9,1,1
"122",20,1,2,122,1,0.123,0,1,0.6,2549,0,28,68,0,-0.6,6544,1,0,-0.9,1,1
"123",20,1,2,123,1,0.123,0,1,0.6,1861,0,28,2,1,0.7,3766,0,1,0.9,0,1
"124",20,1,2,124,1,0.123,1,1,0.6,1079,1,68,28,0,-0.6,3104,0,0,-0.8,0,1
"125",20,1,2,125,1,0.123,1,1,0.6,4179,1,68,28,0,-0.6,6769,0,0,-0.6,0,1
"126",20,1,2,126,1,0.123,0,1,0.7,1348,0,2,2,1,0.7,3043,0,0,-0.8,1,1
"127",20,1,2,127,1,0.123,1,0,-0.6,2363,0,28,28,0,-0.6,4018,0,1,1,1,1
"128",20,1,2,128,1,0.123,1,1,0.6,2017,1,68,82,1,0.7,4582,1,1,0.7,1,1
"129",20,1,2,129,1,0.123,1,0,-0.8,4528,0,-28,-28,0,-0.8,6393,0,0,-0.9,0,1
"130",20,1,2,130,1,0.123,0,1,0.7,2661,0,2,2,1,0.7,4561,0,0,-1,1,1
"131",20,1,2,131,1,0.123,0,0,-0.6,2147,1,68,68,0,-0.6,3577,1,1,1,0,1
"132",20,1,2,132,1,0.123,0,0,-0.6,4786,1,68,68,0,-0.6,6466,1,1,1,0,1
"133",20,1,2,133,1,0.123,0,0,-0.6,3096,1,68,68,0,-0.6,4741,1,1,1,0,1
"134",20,1,2,134,1,0.123,1,0,-0.6,985,0,28,28,0,-0.6,2635,0,0,-0.9,0,1
"135",20,1,2,135,1,0.123,1,0,-0.6,2744,0,28,28,0,-0.6,4399,0,1,0.6,1,1
"136",20,1,2,136,1,0.123,0,0,-0.7,8641,1,82,82,0,-0.7,9941,1,0,-0.7,1,1
"137",20,1,2,137,1,0.123,1,0,-0.6,973,0,28,28,0,-0.6,2733,0,1,0.8,1,1
"138",20,1,2,138,1,0.123,1,0,-0.6,812,0,28,28,0,-0.6,2192,0,0,-0.6,0,1
"139",20,1,2,139,1,0.123,0,0,-0.6,866,1,68,68,0,-0.6,3346,1,0,-0.9,1,1
"140",20,1,2,140,1,0.123,1,0,-0.6,2034,0,28,28,0,-0.6,5535,0,0,-0.6,0,1
"141",20,1,2,141,1,0.123,0,0,-0.6,1113,1,68,2,1,0.7,3863,0,1,0.9,0,1
"142",20,1,2,142,1,0.123,0,0,-0.6,939,1,68,68,0,-0.6,2289,1,1,1,0,1
"143",20,1,2,143,1,0.123,1,0,-0.6,730,0,28,28,0,-0.6,2205,0,1,0.7,1,1
"144",20,1,2,144,1,0.123,0,0,-0.6,829,1,68,68,0,-0.6,3804,1,0,-0.7,1,1
"145",20,1,2,145,1,0.123,1,0,-0.6,788,0,28,28,0,-0.6,2569,0,1,0.9,1,1
"146",20,1,2,146,1,0.123,0,1,0.6,4512,0,28,28,1,0.6,5947,0,0,-0.8,1,1
"147",20,1,2,147,1,0.123,1,0,-0.6,977,0,28,28,0,-0.6,2643,0,1,1,1,1
"148",20,1,2,148,1,0.123,0,0,-0.6,1864,1,68,68,0,-0.6,4059,1,1,0.9,0,1
"149",20,1,2,149,1,0.123,1,1,0.7,2626,1,82,82,1,0.7,4201,1,0,-0.9,0,1
"150",20,1,2,150,1,0.123,1,0,-0.8,1129,0,-28,-28,0,-0.8,2839,0,0,-0.7,0,1
"151",20,1,2,151,1,0.123,1,1,1,1734,1,100,100,1,1,4774,1,1,1,1,1
"152",20,1,2,152,1,0.123,1,1,0.9,2980,1,98,98,1,0.9,4420,1,1,0.8,1,1
"153",20,1,2,153,1,0.123,0,1,0.8,1414,0,-28,-28,1,0.8,3104,0,1,0.7,0,1
"154",20,1,2,154,1,0.123,0,0,-1,1249,1,100,100,0,-1,2994,1,0,-1,1,1
"155",20,1,2,155,1,0.123,1,0,-0.6,1257,0,28,28,0,-0.6,2937,0,1,0.7,1,1
"156",20,1,2,156,1,0.123,0,1,0.8,928,0,-28,-28,1,0.8,2889,0,1,0.7,0,1
"157",20,1,2,157,1,0.123,1,0,-0.7,861,0,2,2,0,-0.7,3121,0,0,-0.7,0,1
"158",20,1,2,158,1,0.123,0,1,0.7,989,0,2,2,1,0.7,2704,0,0,-1,1,1
"159",20,1,2,159,1,0.123,0,0,-0.6,781,1,68,68,0,-0.6,2411,1,0,-0.7,1,1
"160",20,1,2,160,1,0.123,1,1,0.6,1997,1,68,68,1,0.6,3637,1,0,-0.9,0,1
"161",20,1,2,161,1,0.123,1,1,0.6,827,1,68,68,1,0.6,2152,1,1,0.6,1,1
"162",20,1,2,162,1,0.123,0,1,0.7,837,0,2,2,1,0.7,2572,0,1,0.6,0,1
"163",20,1,2,163,1,0.123,1,0,-0.8,1456,0,-28,-28,0,-0.8,3111,0,1,1,1,1
"164",20,1,2,164,1,0.123,1,0,-0.6,984,0,28,28,0,-0.6,2369,0,1,0.7,1,1
"165",20,1,2,165,1,0.123,1,1,0.6,1111,1,68,68,1,0.6,2771,1,0,-0.6,0,1
"166",20,1,2,166,1,0.123,0,1,0.6,928,0,28,2,1,0.7,2773,0,1,0.9,0,1
"167",20,1,2,167,1,0.123,1,0,-0.7,1092,0,2,2,0,-0.7,2737,0,1,0.9,1,1
"168",20,1,2,168,1,0.123,0,0,-0.6,877,1,68,68,0,-0.6,2557,1,1,0.6,0,1
"169",20,1,2,169,1,0.123,1,0,-0.6,676,0,28,28,0,-0.6,2226,0,1,0.8,1,1
"170",20,1,2,170,1,0.123,0,0,-0.6,1817,1,68,68,0,-0.6,3452,1,0,-0.8,1,1
"171",20,1,2,171,1,0.123,0,0,-0.6,1895,1,68,28,1,0.6,3965,0,1,0.8,0,1
"172",20,1,2,172,1,0.123,0,0,-0.6,758,1,68,68,0,-0.6,2368,1,1,0.6,0,1
"173",20,1,2,173,1,0.123,1,0,-0.6,661,0,28,28,0,-0.6,2346,0,1,0.8,1,1
"174",20,1,2,174,1,0.123,1,1,0.6,552,1,68,68,1,0.6,2377,1,0,-0.8,0,1
"175",20,1,2,175,1,0.123,1,0,-0.9,2524,0,-62,-62,0,-0.9,4154,0,1,1,1,1
"176",20,1,2,176,1,0.123,1,0,-0.6,607,0,28,28,0,-0.6,2197,0,1,0.8,1,1
"177",20,1,2,177,1,0.123,1,0,-0.7,903,0,2,2,0,-0.7,2464,0,0,-1,0,1
"178",20,1,2,178,1,0.123,1,1,0.8,1220,1,92,92,1,0.8,3260,1,1,0.8,1,1
"179",20,1,2,179,1,0.123,0,0,-0.8,1472,1,92,92,0,-0.8,3137,1,1,0.9,0,1
"180",20,1,2,180,1,0.123,0,1,0.9,1405,0,-62,-62,1,0.9,2805,0,1,0.7,0,1
"181",20,1,2,181,1,0.123,1,1,0.7,1162,1,82,68,1,0.6,3612,1,1,1,1,1
"182",20,1,2,182,1,0.123,0,0,-0.6,1350,1,68,68,0,-0.6,2950,1,1,0.9,0,1
"183",20,1,2,183,1,0.123,1,1,0.7,889,1,82,82,1,0.7,2554,1,0,-0.8,0,1
"184",20,1,2,184,1,0.123,0,0,-0.8,936,1,92,98,0,-0.9,2711,1,0,-1,1,1
"185",20,1,2,185,1,0.123,1,1,0.8,1189,1,92,98,1,0.9,3364,1,1,1,1,1
"186",20,1,2,186,1,0.123,0,0,-1,1432,1,100,100,0,-1,3087,1,1,0.6,0,1
"187",20,1,2,187,1,0.123,1,1,1,1339,1,100,100,1,1,2894,1,1,0.7,1,1
"188",20,1,2,188,1,0.123,1,0,-1,1515,0,-100,-100,0,-1,3035,0,0,-0.6,0,1
"189",20,1,2,189,1,0.123,1,0,-0.6,2503,0,28,28,0,-0.6,4049,0,0,-1,0,1
"190",20,1,2,190,1,0.123,0,1,0.6,644,0,28,28,1,0.6,3639,0,1,0.6,0,1
"191",20,1,2,191,1,0.123,0,0,-0.7,952,1,82,82,0,-0.7,2577,1,0,-1,1,1
"192",20,1,2,192,1,0.123,1,1,0.6,714,1,68,68,1,0.6,2244,1,0,-0.8,0,1
"193",20,1,2,193,1,0.123,0,1,0.6,706,0,28,28,1,0.6,2251,0,0,-0.7,1,1
"194",20,1,2,194,1,0.123,0,0,-0.6,633,1,68,68,0,-0.6,2008,1,1,0.8,0,1
"195",20,1,2,195,1,0.123,0,1,0.6,646,0,28,28,1,0.6,2711,0,1,0.6,0,1
"196",20,1,2,196,1,0.123,0,0,-0.6,751,1,68,68,0,-0.6,2621,1,0,-1,1,1
"197",20,1,2,197,1,0.123,0,0,-0.7,4174,1,82,82,0,-0.7,5789,1,1,0.9,0,1
"198",20,1,2,198,1,0.123,0,0,-0.7,1095,1,82,82,0,-0.7,2585,1,0,-0.6,1,1
"199",20,1,2,199,1,0.123,1,1,0.8,1372,1,92,98,1,0.9,4913,1,1,1,1,1
"200",20,1,2,200,1,0.123,1,1,0.6,1114,1,68,68,1,0.6,2874,1,0,-0.9,0,1
"201",20,1,2,201,1,0.123,1,1,0.7,2004,1,82,82,1,0.7,3754,1,0,-0.7,0,1
"202",20,1,2,202,1,0.123,1,0,-0.8,2147,0,-28,-62,0,-0.9,4442,0,0,-0.7,0,1
"203",20,1,2,203,1,0.123,0,1,0.6,1504,0,28,28,1,0.6,3039,0,0,-0.6,1,1
"204",20,1,2,204,1,0.123,0,1,0.6,1187,0,28,28,1,0.6,2877,0,0,-0.9,1,1
"205",20,1,2,205,1,0.123,0,1,0.6,1848,0,28,28,1,0.6,3398,0,0,-0.9,1,1
"206",20,1,2,206,1,0.123,1,0,-0.6,783,0,28,28,0,-0.6,3244,0,0,-1,0,1
"207",20,1,2,207,1,0.123,0,1,0.6,1941,0,28,28,1,0.6,3421,0,0,-0.9,1,1
"208",20,1,2,208,1,0.123,0,1,0.6,1329,0,28,28,1,0.6,3189,0,1,0.6,0,1
"209",20,1,2,209,1,0.123,1,0,-0.6,614,0,28,28,0,-0.6,2214,0,1,0.6,1,1
"210",20,1,2,210,1,0.123,1,1,0.6,818,1,68,68,1,0.6,2528,1,1,0.6,1,1
"211",20,1,2,211,1,0.123,1,1,0.6,827,1,68,68,1,0.6,2283,1,1,0.6,1,1
"212",20,1,2,212,1,0.123,0,1,0.6,545,0,28,28,1,0.6,2100,0,0,-0.6,1,1
"213",20,1,2,213,1,0.123,0,1,0.6,651,0,28,28,1,0.6,2146,0,0,-0.8,1,1
"214",20,1,2,214,1,0.123,1,0,-0.6,3198,0,28,28,0,-0.6,4598,0,0,-0.7,0,1
"215",20,1,2,215,1,0.123,1,1,0.6,3730,1,68,68,1,0.6,5300,1,1,0.8,1,1
"216",20,1,2,216,1,0.123,0,1,0.6,3966,0,28,28,1,0.6,5606,0,0,-0.8,1,1
"217",20,1,2,217,1,0.123,1,1,0.6,852,1,68,68,1,0.6,2312,1,1,0.7,1,1
"218",20,1,2,218,1,0.123,1,0,-1,1494,0,-100,-100,0,-1,3280,0,0,-0.8,0,1
"219",20,1,2,219,1,0.123,0,1,0.8,1224,0,-28,-28,1,0.8,2869,0,0,-0.6,1,1
"220",20,1,2,220,1,0.123,0,0,-0.8,1169,1,92,92,0,-0.8,2809,1,1,0.8,0,1
"221",20,1,2,221,1,0.123,1,1,0.7,1654,1,82,82,1,0.7,3249,1,0,-0.8,0,1
"222",20,1,2,222,1,0.123,1,1,0.7,1403,1,82,82,1,0.7,2778,1,1,0.7,1,1
"223",20,1,2,223,1,0.123,0,1,0.7,3334,0,2,28,1,0.6,6429,0,0,-0.7,1,1
"224",20,1,2,224,1,0.123,0,0,-0.6,1239,1,68,68,0,-0.6,3729,1,0,-0.6,1,1
"225",20,1,2,225,1,0.123,0,1,0.7,1234,0,2,2,1,0.7,3055,0,0,-0.7,1,1
"226",20,1,2,226,1,0.123,0,0,-0.6,1565,1,68,68,0,-0.6,3140,1,0,-1,1,1
"227",20,1,2,227,1,0.123,0,1,0.7,1680,0,2,28,1,0.6,3735,0,0,-0.6,1,1
"228",20,1,2,228,1,0.123,0,0,-0.6,2325,1,68,68,0,-0.6,4055,1,1,0.9,0,1
"229",20,1,2,229,1,0.123,1,0,-0.9,1448,0,-62,-28,0,-0.8,3473,0,1,0.8,1,1
"230",20,1,2,230,1,0.123,0,1,0.6,1747,0,28,68,0,-0.6,5187,1,0,-0.7,1,1
"231",20,1,2,231,1,0.123,0,0,-0.6,1031,1,68,82,0,-0.7,3021,1,0,-0.9,1,1
"232",20,1,2,232,1,0.123,1,0,-0.7,1195,0,2,2,0,-0.7,2836,0,1,0.7,1,1
"233",20,1,2,233,1,0.123,1,0,-0.6,1518,0,28,28,0,-0.6,4253,0,0,-0.6,0,1
"234",20,1,2,234,1,0.123,0,1,0.7,1271,0,2,2,1,0.7,2916,0,0,-0.8,1,1
"235",20,1,2,235,1,0.123,1,0,-0.6,1422,0,28,28,0,-0.6,4382,0,1,0.7,1,1
"236",20,1,2,236,1,0.123,0,0,-0.6,1006,1,68,68,0,-0.6,2631,1,1,0.9,0,1
"237",20,1,2,237,1,0.123,1,1,0.6,1151,1,68,68,1,0.6,3151,1,0,-1,0,1
"238",20,1,2,238,1,0.123,1,1,0.6,640,1,68,68,1,0.6,2215,1,1,0.8,1,1
"239",20,1,2,239,1,0.123,0,1,0.6,1074,0,28,28,1,0.6,3279,0,0,-1,1,1
"240",20,1,2,240,1,0.123,1,0,-0.6,1603,0,28,28,0,-0.6,3383,0,1,0.9,1,1
"241",27,1,1,1,1,0.028733,0,0,-0.7,3087,1,82,92,0,-0.8,6912,1,0,-0.9,1,2
"242",27,1,1,2,1,0.028733,1,1,0.8,1619,1,92,92,1,0.8,9005,1,0,-0.9,0,2
"243",27,1,1,3,1,0.028733,1,1,0.6,1756,1,68,68,1,0.6,5396,1,1,0.8,1,2
"244",27,1,1,4,1,0.028733,0,0,-0.6,3418,1,68,82,0,-0.7,5728,1,0,-0.7,1,2
"245",27,1,1,5,1,0.028733,1,1,0.8,1349,1,92,92,1,0.8,6114,1,0,-0.7,0,2
